Name,Unnamed: 1,Full Stats - Break Points Faced,Career - Career High Rank (2011.07.04),Career - Career High Rank (2025.01.27),Career - Career High Rank (2025.02.24),Birthplace,TotalServicePointsWon,Turned pro,SecondServeReturnWon,BreakPointsConverted,Career - Career High Rank (2015.03.02),Height,Career - Career High Rank (2021.09.13),DoubleFaults,Career - Career High Rank (2024.08.05),YTD - Titles,Career - Career High Rank (2019.06.10),Career - Prize Money Singles & Doubles Combined,Career - Career High Rank (2022.09.12),Career - Career High Rank (2023.01.16),Career - W-L,Career - Career High Rank (2025.04.07),Career - Career High Rank (2024.05.06),Career - Career High Rank (2025.05.05),Full Stats - Return Games Played,ReturnPointsWon,Career - Career High Rank (2017.09.11),SecondServeWon,Career - Career High Rank (2024.06.24),Career - Career High Rank (2019.05.20),Career - Titles,Career - Career High Rank (2023.02.06),Career - Career High Rank (2025.04.21),Full Stats - Return Games Won,Career - Career High Rank (2024.07.15),Age,Career - Career High Rank (2024.10.21),Career - Career High Rank (2022.08.08),Career - Career High Rank (2022.01.31),FirstServeIn,Career - Career High Rank (2024.08.12),Career - Career High Rank (2024.11.18),Career - Career High Rank (2023.08.21),TotalPointsWon,Full Stats - Break Points Opportunities,Career - Career High Rank (2023.08.14),Career - Career High Rank (2024.02.12),Career - Career High Rank (2023.11.06),Career - Career High Rank (2019.07.15),FirstServeReturnWon,Career - Career High Rank (2024.08.26),Career - Career High Rank (2023.09.11),Career - Career High Rank (2023.06.19),Aces,Career - Career High Rank (2022.11.07),Career - Career High Rank (2024.01.08),Career - Career High Rank (2024.07.22),Career - Career High Rank (2021.10.04),Career - Career High Rank (2017.11.20),Career - Career High Rank (2022.02.28),Career - Career High Rank (2023.10.16),Weight,Career - Career High Rank (2025.03.31),YTD - Rank,Full Stats - Service Games Played,BreakPointsSaved,Career - Career High Rank (2018.11.05),Career - Career High Rank (2024.06.10),Career - Career High Rank (2022.07.11),Full Stats - Service Games Won,YTD - Prize Money,Career - Career High Rank (2022.08.29),FirstServeWon,Career - Career High Rank (2019.11.04),Plays,Career - Career High Rank (2022.06.13),Career - Career High Rank (2024.11.04),Career - Career High Rank (2018.07.02),Career - Career High Rank (2025.05.26),Career - Career High Rank (2024.04.15),Career - Career High Rank (2024.07.01),Career - Career High Rank (2025.04.14),Career - Career High Rank (2022.08.01),Career - Career High Rank (2016.11.07),Career - Career High Rank (2024.09.16),Career - Career High Rank (2022.10.31),Career - Career High Rank (2023.04.10),Career - Career High Rank (2020.09.21),Career - Career High Rank (2023.10.02),Career - Career High Rank (2024.09.09),Career - Career High Rank (2025.05.19),Career - Career High Rank (2021.08.09),Career - Career High Rank (2025.03.17),Career - Career High Rank (2025.03.03),Country,Wins,Losses,Win Rate,Height_cm,Weight_kg
Jannik Sinner,x,1918,1.0,9.0,29.0,"San Candido, Italy",0.67,2018.0,0.54,0.43,4.0,"6'3"" (191cm)",5.0,715,25.0,1,27.0,40069385,3.6666666666666665,27.0,275 - 81,55.333333333333336,26.5,17.333333333333332,4252,0.4,10.0,0.55,18.0,52.0,19,42.0,71.0,0.28,6.0,23,47.0,83.0,26.0,0.6,22.666666666666668,4.0,12.5,0.53,2757,48.0,27.0,21.0,8.0,0.32,62.0,53.0,18.333333333333332,1976,28.5,36.0,31.0,21.0,5.0,31.0,37.0,170 lbs (77kg),72.0,1,4307,0.67,12.0,1.0,58.0,0.85,2830697,22.0,0.75,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Italy,12,1,0.9230769230769231,191,77
Carlos Alcaraz,x,1630,1.0,9.0,29.0,"El Palmar, Murcia, Spain",0.66,2018.0,0.54,0.42,4.0,"6'0"" (183cm)",5.0,668,25.0,3,27.0,41835058,1.0,27.0,239 - 61,55.333333333333336,26.5,17.333333333333332,3566,0.42,10.0,0.56,18.0,52.0,19,42.0,71.0,0.31,6.0,22,47.0,83.0,26.0,0.65,22.666666666666668,4.0,12.5,0.53,2696,48.0,27.0,21.0,8.0,0.35,62.0,53.0,18.333333333333332,1130,28.5,36.0,31.0,21.0,5.0,31.0,37.0,163 lbs (74kg),72.0,2,3563,0.63,12.0,15.0,58.0,0.83,3980081,22.0,0.71,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Spain,30,5,0.8571428571428571,183,74
Alexander Zverev,x,3657,1.0,9.0,29.0,"Hamburg, Germany",0.67,2013.0,0.51,0.41,4.0,"6'6"" (198cm)",5.0,2464,25.0,1,27.0,52935482,3.6666666666666665,27.0,488 - 208,55.333333333333336,26.5,17.333333333333332,8615,0.38,10.0,0.5,18.0,52.0,24,42.0,71.0,0.25,6.0,28,47.0,83.0,26.0,0.67,22.666666666666668,4.0,12.5,0.52,5211,48.0,27.0,21.0,8.0,0.3,62.0,53.0,18.333333333333332,5646,28.5,36.0,31.0,21.0,5.0,31.0,37.0,198 lbs (90kg),72.0,3,8594,0.62,12.0,15.0,58.0,0.84,2704891,22.0,0.75,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Germany,25,10,0.7142857142857143,198,90
Taylor Fritz,x,2705,1.0,9.0,29.0,"Rancho Santa Fe, CA, USA",0.67,2015.0,0.5,0.38,4.0,"6'5"" (196cm)",5.0,1121,25.0,0,27.0,24194335,3.6666666666666665,27.0,301 - 199,55.333333333333336,26.5,17.333333333333332,6192,0.36,10.0,0.52,18.0,52.0,8,42.0,71.0,0.2,6.0,27,47.0,83.0,26.0,0.6,22.666666666666668,4.0,12.5,0.51,3311,48.0,27.0,21.0,8.0,0.27,62.0,53.0,18.333333333333332,4648,28.5,36.0,31.0,21.0,5.0,31.0,37.0,190 lbs (86kg),72.0,4,6286,0.63,12.0,15.0,58.0,0.84,1712282,22.0,0.76,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,United States,17,9,0.6538461538461539,196,86
Jack Draper,x,831,1.0,9.0,29.0,"Sutton, England",0.66,2018.0,0.52,0.42,4.0,"6'4"" (193cm)",5.0,436,25.0,1,27.0,7600701,3.6666666666666665,27.0,101 - 57,55.333333333333336,26.5,5.0,1819,0.38,10.0,0.51,18.0,52.0,3,42.0,71.0,0.25,6.0,23,47.0,83.0,26.0,0.6,22.666666666666668,4.0,12.5,0.52,1071,48.0,27.0,21.0,8.0,0.3,62.0,53.0,18.333333333333332,1200,28.5,36.0,31.0,21.0,5.0,31.0,37.0,187 lbs (85kg),72.0,5,1807,0.66,12.0,15.0,58.0,0.84,2674635,22.0,0.76,9.0,"Left-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Great Britain,22,6,0.7857142857142857,193,85
Novak Djokovic,Youtube,6674,1.0,9.0,29.0,"Belgrade, Serbia",0.68,2003.0,0.55,0.44,4.0,"6'2"" (188cm)",5.0,3041,25.0,1,27.0,187086939,3.6666666666666665,27.0,1140 - 229,55.333333333333336,26.5,17.333333333333332,16104,0.42,10.0,0.55,18.0,52.0,100,42.0,71.0,0.32,6.0,38,47.0,83.0,26.0,0.65,22.666666666666668,4.0,12.5,0.54,11567,48.0,27.0,21.0,8.0,0.34,62.0,53.0,18.333333333333332,7504,28.5,36.0,31.0,21.0,5.0,31.0,37.0,170 lbs (77kg),72.0,6,16569,0.65,12.0,15.0,58.0,0.86,1553019,22.0,0.74,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Serbia,16,7,0.6956521739130435,188,77
Lorenzo Musetti,x,1618,1.0,9.0,29.0,"Carrara, Italy",0.63,2019.0,0.52,0.4,4.0,"6'1"" (185cm)",5.0,518,25.0,0,27.0,9385488,3.6666666666666665,27.0,152 - 118,55.333333333333336,26.5,17.333333333333332,3126,0.38,10.0,0.52,18.0,52.0,2,42.0,71.0,0.24,6.0,23,47.0,83.0,26.0,0.65,22.666666666666668,4.0,12.5,0.51,1838,48.0,27.0,21.0,8.0,0.3,62.0,53.0,18.333333333333332,881,28.5,36.0,31.0,21.0,5.0,31.0,37.0,172 lbs (78kg),72.0,7,3121,0.59,12.0,15.0,58.0,0.79,1662593,22.0,0.69,9.0,"Right-Handed, One-Handed Backhand",2.0,26.0,23.0,7.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Italy,20,7,0.7407407407407407,185,78
Casper Ruud,x,2247,1.0,9.0,29.0,"Oslo, Norway",0.66,2015.0,0.51,0.4,4.0,"6'0"" (183cm)",5.0,913,25.0,1,27.0,24777407,2.0,27.0,282 - 147,55.333333333333336,26.5,17.333333333333332,4837,0.37,10.0,0.54,18.0,52.0,13,42.0,71.0,0.23,6.0,26,47.0,83.0,26.0,0.65,22.666666666666668,4.0,12.5,0.52,2834,48.0,27.0,21.0,8.0,0.29,62.0,53.0,18.333333333333332,2053,28.5,36.0,31.0,21.0,5.0,31.0,37.0,178 lbs (81kg),72.0,8,4936,0.64,12.0,15.0,58.0,0.83,2410638,22.0,0.72,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Norway,24,7,0.7741935483870968,183,81
Alex De Minaur,x,2586,1.0,9.0,29.0,"Sydney, Australia",0.64,2015.0,0.52,0.43,4.0,"6'0"" (183cm)",5.0,1043,25.0,0,27.0,17644663,3.6666666666666665,27.0,275 - 165,55.333333333333336,26.5,17.333333333333332,5047,0.4,10.0,0.53,18.0,52.0,9,42.0,71.0,0.27,6.0,26,47.0,83.0,26.0,0.58,22.666666666666668,4.0,12.5,0.52,3193,48.0,27.0,21.0,8.0,0.32,62.0,53.0,18.333333333333332,1557,28.5,36.0,31.0,21.0,5.0,31.0,37.0,152 lbs (69kg),72.0,9,5007,0.61,12.0,15.0,58.0,0.8,1920334,22.0,0.71,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Australia,26,10,0.7222222222222222,183,69
Holger Rune,x,1433,1.0,9.0,29.0,"Gentofte, Denmark",0.65,2020.0,0.5,0.4,4.0,"6'2"" (188cm)",5.0,798,25.0,1,27.0,13282663,3.6666666666666665,27.0,156 - 96,55.333333333333336,26.5,17.333333333333332,3002,0.37,10.0,0.53,18.0,52.0,5,42.0,71.0,0.21,6.0,22,47.0,83.0,26.0,0.62,22.666666666666668,4.0,4.0,0.51,1611,48.0,27.0,21.0,8.0,0.29,62.0,53.0,18.333333333333332,1244,28.5,36.0,31.0,21.0,5.0,31.0,37.0,169 lbs (77kg),72.0,10,2994,0.63,12.0,15.0,58.0,0.82,1762841,22.0,0.72,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Denmark,17,11,0.6071428571428571,188,77
